Individual,Color,cfr,chl,Fs,Fv/Fm
1,o,1.47,541,219,775
1,w,1.43,515,192,794
1,y,1.24,395,213,775
2,o,1.54,584,239,787
2,w,1.61,630,235,793
2,y,1.45,535,230,786
3,o,1.54,582,179,701
3,w,1.34,458,264,745
3,y,1.41,503,246,768
3,p,1.62,633,,
4,o,1.41,503,240,752
4,w,1.5,562,234,770
5,o,1.55,594,230,767
5,w,1.54,583,216,782
5,y,1.38,481,255,745
6,o,1.49,554,206,765
6,w,1.6,563,198,793
6,y,1.45,551,226,767
12,o,1.5,562,218,769
12,w,1.41,501,216,790
21,o,1.35,444,225,778
21,w,1.44,519,185,791
21,y,1.17,531,224,781
21,p,1.41,503,,
22,o,1.36,478,195,786
22,w,1.36,474,202,787
22,y,1.34,478,207,769
24,o,1.6,623,201,784
24,w,1.42,509,190,802
24,y,1.43,515,234,755
25,o,1.43,513,,
25,w,1.36,471,,
25,y,1.16,341,,
26,o,1.39,490,,
26,w,1.62,636,,
26,y,1.49,553,,
26,p,1.49,553,,
29,o,1.43,515,,
29,w,1.4,496,,
30,o,1.5,560,,
30,w,1.67,668,,
30,y,1.65,6554,,
30,p,1.71,693,,
65,o,1.33,452,,
65,w,1.28,420,,
65,y,1.38,484,,
66,o,1.25,401,,
66,w,0.93,198,,
66,y,0.92,192,,
66,p,1.22,382,,
70,o,1.45,528,,
70,w,1.46,534,,
70,p,1.47,541,,
71,o,1.53,579,,
71,w,1.79,744,,
71,y,1.45,528,,
71,p,1.58,611,,
73,o,1.34,458,,
73,w,1.19,363,,
73,p,1.26,408,,
74,o,1.38,484,,
74,w,1.47,541,,
74,p,1.44,522,,
75,w,1.15,338,,
77,w,1.22,382,,
77,y,1.27,414,,
77,p,1.01,429,,
78,w,1.26,408,,
79,w,1.37,477,,
79,p,1.01,429,,
80,o,1.15,338,,
80,w,1.22,382,,
