"Viewer version","2.84"
"Measure start time","Monday, January 14, 2019 9:10:08 AM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"243","242.9655","0.862"
"244","243.9733","-0.448"
"245","244.9807","0.483"
"246","245.9725","-2.103"
"247","246.9643","1.310"
"248","247.9722","-2.517"
"249","248.9962","0.172"
"250","249.9559","-1.655"
"251","250.9630","-0.517"
"252","251.9702","-0.276"
"253","252.9615","0.138"
"254","253.9684","0.793"
"255","254.9752","-0.276"
"256","255.9506","1.517"
"257","256.9735","-0.655"
"258","257.9484","0.862"
"259","258.9557","-0.069"
"260","259.9947","0.414"
"261","260.9702","-0.103"
"262","261.9614","0.034"
"263","262.9531","-0.483"
"264","263.9603","0.379"
"265","264.9841","0.724"
"266","265.9752","-0.310"
"267","266.9830","0.448"
"268","267.9423","-0.345"
"269","268.9979","0.172"
"270","269.9574","-0.172"
"271","270.9655","0.690"
"272","271.9739","-0.448"
"273","272.9503","0.138"
"274","273.9748","-0.103"
"275","274.9673","-0.517"
"276","275.9598","0.069"
"277","276.9842","-0.172"
"278","277.9607","0.069"
"279","278.9852","-0.724"
"280","279.9616","-0.103"
"281","280.9537","-0.966"
"282","281.9610","-0.172"
"283","282.9524","-0.276"
"284","283.9756","-0.069"
"285","284.9509","0.517"
"286","285.9581","0.034"
"287","286.9656","0.034"
"288","287.9574","0.655"
"289","288.9967","0.828"
"290","289.9401","0.207"
"291","290.9625","0.345"
"292","291.9688","0.724"
"293","292.9749","0.172"
"294","293.9652","-0.172"
"295","294.9873","0.345"
"296","295.9456","0.138"
"297","296.9681","0.345"
"298","297.9423","0.897"
"299","298.9486","0.276"
"300","299.9547","0.414"
"301","300.9779","0.138"
"302","301.9383","-0.345"
"303","302.9466","0.103"
"304","303.9708","0.345"
"305","304.9630","-1.103"
"306","305.9392","-1.138"
"307","306.9474","-1.069"
"308","307.9554","-1.759"
"309","308.9477","-1.207"
"310","309.9561","-0.448"
"311","310.9313","-1.103"
"312","311.9371","-0.724"
"313","312.9748","-0.517"
"350","349.9068","2.172"
"351","350.9129","1.931"
"352","351.9528","1.897"
"353","352.9130","1.655"
"354","353.9215","2.207"
"355","354.9135","2.138"
"356","355.9375","2.276"
"357","356.9299","2.483"
"358","357.9545","2.069"
"359","358.9301","1.862"
"360","359.9221","2.000"
"361","360.9145","1.586"
"362","361.9228","2.069"
"363","362.9476","1.759"
"364","363.9562","1.310"
"365","364.9166","2.000"
"366","365.9575","2.138"
"367","366.9180","1.655"
"368","367.9266","1.241"
"369","368.9189","1.103"
"370","369.9276","1.552"
"371","370.9517","1.655"
"372","371.9275","1.483"
"373","372.9352","1.483"
"374","373.9108","1.931"
"375","374.9343","1.586"
"376","375.9263","1.931"
"377","376.9179","2.379"
"378","377.9253","2.241"
"379","378.9652","2.414"
"380","379.9246","2.586"
"381","380.9319","2.034"
"382","381.9056","1.621"
"383","382.9276","1.690"
"384","383.9175","2.103"
"385","384.9235","2.207"
"386","385.9293","2.241"
"387","386.9044","1.724"
"388","387.9253","1.931"
"389","388.9151","2.690"
"390","389.8891","1.655"
"391","390.8957","2.552"
"392","391.9208","2.448"
"393","392.9298","2.034"
"394","393.9065","2.621"
"395","394.9474","2.552"
"396","395.9087","1.621"
"397","396.9013","1.966"
"398","397.9105","2.345"
"399","398.9352","2.000"
"400","399.9284","2.724"
"401","400.9365","1.690"
"402","401.9101","1.828"
"403","402.9317","2.103"
"404","403.9374","1.966"
"405","404.9109","1.586"
"406","405.9329","1.966"
