"Viewer version","2.84"
"Measure start time","Monday, January 14, 2019 12:17:43 PM"
"Type of measurement","Flow [Linearized]"
"Sampling interval [ms]","1000"
"Timing information","Relative"
"Article code","SLI-1000            "
"Serial Number","174900039"
"COM HW Type","RS485/USB Sensor Cable"
"COM HW Config","Config String: COM3, 115200, ECHOOFF"
"Sensor Cable Version","1.7"
"I2C Address","64"
"Scale Factor","29"
"Resolution (bit)","16"
"Calibration Field","0"
"Sample #","Relative Time[s]","Flow [ul/min]"
"344","343.9676","-0.931"
"345","345.0082","-0.207"
"346","345.9683","0.034"
"347","346.9928","0.207"
"348","347.9690","0.069"
"349","348.9934","1.069"
"350","350.0023","0.586"
"351","351.0099","0.310"
"352","352.0011","0.172"
"353","352.9762","0.379"
"354","353.9677","1.655"
"355","355.0072","0.724"
"356","355.9823","1.000"
"357","356.9735","0.897"
"358","357.9807","0.621"
"359","358.9880","0.069"
"360","359.9950","0.310"
"361","360.9853","0.103"
"362","361.9754","0.517"
"363","362.9972","0.483"
"364","364.0032","0.655"
"365","364.9611","0.793"
"366","365.9670","0.517"
"367","366.9729","-0.069"
"368","367.9792","0.379"
"369","368.9533","-0.069"
"370","369.9594","0.069"
"371","370.9659","-0.483"
"372","371.9573","-0.310"
"373","372.9647","-0.448"
"374","373.9721","0.379"
"375","374.9792","0.172"
"376","375.9709","0.517"
"377","376.9941","0.759"
"378","377.9697","0.552"
"379","378.9931","0.172"
"380","379.9846","0.897"
"381","380.9760","0.759"
"382","381.9517","0.724"
"383","382.9592","0.862"
"384","383.9667","0.759"
"385","384.9577","1.552"
"386","385.9651","1.138"
"387","386.9563","0.448"
"388","387.9473","0.172"
"389","388.9546","0.276"
"390","389.9942","0.069"
"391","390.9704","0.310"
"392","391.9793","0.828"
"393","393.0043","0.517"
"394","393.9650","0.448"
"395","394.9741","0.345"
"396","395.9830","0.448"
"397","396.9599","0.724"
"398","397.9687","0.621"
"399","399.0092","0.172"
"400","399.9702","0.345"
"401","401.0103","0.241"
"402","401.9856","1.345"
"403","403.0089","0.621"
"404","403.9520","-0.862"
"405","404.9596","-0.103"
"406","405.9669","-0.207"
"407","406.9581","-0.069"
"408","407.9657","0.138"
"409","408.9572","-0.138"
"410","409.9645","0.586"
"411","410.9553","0.379"
"412","411.9779","-0.103"
"413","412.9685","0.586"
"446","445.9486","20.241"
"447","446.9391","20.000"
"448","447.9450","21.069"
"449","448.9355","20.586"
"450","449.9418","21.138"
"451","450.9646","21.138"
"452","451.9409","20.345"
"453","452.9340","21.069"
"454","453.9413","20.310"
"455","454.9496","20.759"
"456","455.9580","21.862"
"457","456.9500","20.897"
"458","457.9422","20.862"
"459","458.9507","20.000"
"460","459.9434","19.793"
"461","460.9515","19.828"
"462","461.9440","20.655"
"463","462.9360","20.379"
"464","463.9604","20.621"
"465","464.9525","20.690"
"466","465.9607","21.586"
"467","466.9848","22.345"
"468","467.9449","22.138"
"469","468.9852","22.276"
"470","469.9613","21.172"
"471","470.9691","21.207"
"472","471.9435","21.172"
"473","472.9500","20.931"
"474","473.9562","20.793"
"475","474.9466","19.966"
"476","475.9691","20.379"
"477","476.9433","20.655"
"478","477.9495","20.897"
"479","478.9556","20.103"
"480","479.9619","20.241"
"481","480.9362","20.241"
"482","481.9742","19.621"
"483","482.9323","20.310"
"484","483.9384","21.655"
"485","484.9446","20.586"
"486","485.9347","20.103"
"487","486.9411","20.724"
"488","487.9471","21.552"
"489","488.9373","20.379"
"490","489.9593","20.897"
"491","490.9179","20.241"
"492","491.9265","20.172"
"493","492.9353","21.034"
"494","493.9440","21.345"
"495","494.9370","20.517"
"496","495.9460","20.966"
"497","496.9549","20.483"
"498","497.9317","21.138"
"499","498.9246","21.724"
"500","499.9494","21.241"
"501","500.9584","21.517"
"502","501.9344","21.310"
"503","502.9581","20.000"
"504","503.9659","20.828"
"505","504.9578","20.862"
"506","505.9656","21.172"
"507","506.9414","20.379"
"508","507.9493","20.241"
"509","508.9409","20.345"
"510","509.9489","20.552"
"511","510.9407","20.828"
"512","511.9625","20.759"
"513","512.9528","20.621"
"533","532.9336","0.138"
"534","533.9420","0.483"
"535","534.9502","-0.034"
"536","535.9105","-0.207"
"537","536.9507","-0.103"
"538","537.9111","-0.069"
"539","538.9518","-0.103"
"540","539.9121","-0.172"
"541","540.9362","-0.310"
"542","541.9271","-0.621"
"543","542.9177","0.621"
"544","543.9565","1.241"
"545","544.9310","0.172"
"546","545.9379","0.517"
"547","546.9287","-0.103"
"548","547.9033","0.655"
"549","548.9422","0.414"
"550","549.9333","0.483"
"551","550.9401","0.552"
"552","551.9166","0.759"
"553","552.9249","0.724"
"554","553.9332","0.724"
"555","554.9253","0.828"
"556","555.9494","0.483"
"557","556.9093","1.103"
"558","557.9334","0.724"
"559","558.9411","0.724"
"560","559.9335","0.621"
"561","560.9414","1.172"
"562","561.9155","1.897"
"563","562.9214","0.138"
"564","563.9276","0.483"
"565","564.9336","1.172"
"566","565.9078","0.552"
"567","566.9298","0.552"
"568","567.9354","1.172"
"569","568.9416","0.241"
"570","569.8996","0.931"
"571","570.9375","0.931"
"572","571.9127","0.897"
"573","572.9044","0.724"
"574","573.9438","2.034"
"575","574.9034","0.690"
"576","575.8947","1.276"
"577","576.9180","0.172"
"578","577.8937","-0.138"
"579","578.9172","-0.138"
"580","579.9405","0.828"
"581","580.8999","0.310"
"582","581.9086","0.000"
"583","582.9334","-0.103"
"584","583.8939","-0.241"
"585","584.9021","0.586"
"586","585.9107","0.655"
"587","586.9195","0.034"
"588","587.9121","0.552"
"589","588.9366","0.517"
"590","589.9294","0.241"
"591","590.9223","-0.034"
"592","591.9117","0.276"
"593","592.9330","0.483"
"594","593.9222","1.207"
"595","594.9116","0.655"
"596","595.9167","1.138"
"597","596.9059","0.621"
"598","597.9109","-0.448"
"599","598.9002","-0.034"
"600","599.8895","-0.207"
"601","600.9105","0.000"
"602","601.8873","-0.379"
"603","602.9277","-0.448"
"604","603.9045","-1.069"
"605","604.9130","0.414"
"606","605.9055","0.379"
"607","606.8984","0.103"
"608","607.9386","0.897"
